p1,p2,p1_wins_cards,p1_wins_tricks,p2_wins_cards,p2_wins_tricks,draws_cards,draws_tricks
000,001,2362030,2022440,2538265,2205158,99774,772471
000,010,1386653,1057854,3532648,3324870,80768,617345
000,011,880859,563442,4018837,3847416,100373,589211
000,100,47,5578,4999994,4974523,28,19968
000,101,1261492,839094,3632201,3470920,106376,690055
000,110,46971,41243,4940018,4836518,13080,122308
000,111,2429777,1626770,2427044,1626727,143248,1746572
001,000,2538265,2205158,2362030,2022440,99774,772471
001,010,4315235,4005384,619168,581233,65666,413452
001,011,4778364,4414190,179465,258585,42240,327294
001,100,9515,131457,4988115,4676469,2439,192143
001,101,4588207,3961562,342430,567140,69432,471367
001,110,2390504,2047758,2387599,2045403,221966,906908
001,111,4940072,4837121,47184,41514,12813,121434
010,000,3532648,3324870,1386653,1057854,80768,617345
010,001,619168,581233,4315235,4005384,65666,413452
010,011,2427754,2157074,2428841,2158312,143474,684683
010,100,2101072,2118090,2790237,2209729,108760,672250
010,101,2438895,2031123,2441323,2031713,119851,937233
010,110,342799,567210,4588108,3960933,69162,471926
010,111,3632247,3471083,1261507,839327,106315,689659
011,000,4018837,3847416,880859,563442,100373,589211
011,001,179465,258585,4778364,4414190,42240,327294
011,010,2428841,2158312,2427754,2157074,143474,684683
011,100,2426587,2156912,2430217,2158564,143265,684593
011,101,2790997,2210983,2100041,2117578,109031,671508
011,110,4988200,4677816,9422,130588,2447,191665
011,111,4999981,4974443,65,5580,23,20046
100,000,4999994,4974523,47,5578,28,19968
100,001,4988115,4676469,9515,131457,2439,192143
100,010,2790237,2209729,2101072,2118090,108760,672250
100,011,2430217,2158564,2426587,2156912,143265,684593
100,101,2428248,2158839,2428284,2158210,143537,683020
100,110,179778,258652,4778956,4414328,41335,327089
100,111,4020427,3847039,879793,563146,99849,589884
101,000,3632201,3470920,1261492,839094,106376,690055
101,001,342430,567140,4588207,3961562,69432,471367
101,010,2441323,2031713,2438895,2031123,119851,937233
101,011,2100041,2117578,2790997,2210983,109031,671508
101,100,2428284,2158210,2428248,2158839,143537,683020
101,110,618892,580219,4315616,4005613,65561,414237
101,111,3532259,3324396,1386332,1057971,81478,617702
110,000,4940018,4836518,46971,41243,13080,122308
110,001,2387599,2045403,2390504,2047758,221966,906908
110,010,4588108,3960933,342799,567210,69162,471926
110,011,9422,130588,4988200,4677816,2447,191665
110,100,4778956,4414328,179778,258652,41335,327089
110,101,4315616,4005613,618892,580219,65561,414237
110,111,2541228,2204872,2359684,2021886,99157,773311
111,000,2427044,1626727,2429777,1626770,143248,1746572
111,001,47184,41514,4940072,4837121,12813,121434
111,010,1261507,839327,3632247,3471083,106315,689659
111,011,65,5580,4999981,4974443,23,20046
111,100,879793,563146,4020427,3847039,99849,589884
111,101,1386332,1057971,3532259,3324396,81478,617702
111,110,2359684,2021886,2541228,2204872,99157,773311
